Horodateur,User ID,Which version of the simulation did you just do,How familiar are you with controling drones/vehicles in simulations/video games?,How aware were you of the position and movement of other drones within the swarm ? ,How aware were you of the position of obstacles around the swarm ?,How did you find avoiding obstacles on the course?,How aware were you of the swarm’s alignment with the gaps ?,What was the perceived cognitive load of the simulation
09/12/2025 23:55:10,0,Run without audio feedback,1,3,2,3,2,2
10/12/2025 23:55:10,0,Run with audio feedback,1,2,3,3,3,4
11/12/2025 23:55:10,1,Run without audio feedback,4,2,4,3,3,5
10/12/2025 00:49:25,1,Run with audio feedback,5,4,4,4,3,4
10/12/2025 10:50:28,2,Run without audio feedback,1,1,2,5,2,5
10/12/2025 10:51:31,2,Run with audio feedback,1,2,5,5,3,3
10/12/2025 11:06:32,3,Run without audio feedback,2,4,4,2,2,5
10/12/2025 11:07:03,3,Run with audio feedback,2,4,4,2,2,4
10/12/2025 19:41:23,4,Run with audio feedback,4,4,4,4,2,4
11/12/2025 16:00:45,5,Run with audio feedback,3,3,4,5,4,4
11/12/2025 16:03:52,5,Run without audio feedback,3,3,3,5,4,4
11/12/2025 16:28:24,6,Run with audio feedback,1,2,2,4,3,4
11/12/2025 16:32:05,6,Run with audio feedback,1,4,3,4,4,4
11/12/2025 17:20:37,7,Run with audio feedback,2,4,5,3,4,4
11/12/2025 17:23:36,7,Run without audio feedback,3,2,4,3,2,3
11/12/2025 19:28:09,8,Run with audio feedback,5,3,4,5,5,3
11/12/2025 19:31:25,8,Run without audio feedback,5,2,1,2,1,5
16/12/2025 14:36:04,9,Run with audio feedback,5,2,4,4,3,3
16/12/2025 14:40:40,9,Run without audio feedback,5,3,3,4,3,5
23/12/2025 12:09:47,10,Run without audio feedback,3,2,3,4,2,2
23/12/2025 12:15:03,10,Run with audio feedback,3,3,4,4,3,3
23/12/2025 12:44:19,11,Run with audio feedback,4,4,5,3,3,4
23/12/2025 13:15:59,11,Run without audio feedback,4,3,5,2,2,4
28/12/2025 20:18:06,12,Run with audio feedback,2,2,3,3,3,3
28/12/2025 20:21:50,12,Run without audio feedback,2,2,3,3,2,5
04/01/2026 17:43:17,13,Run with audio feedback,5,4,5,4,3,4
04/01/2026 17:45:53,13,Run without audio feedback,5,3,5,4,3,5
05/01/2026 09:12:25,14,Run with audio feedback,5,4,5,4,3,4
05/01/2026 09:15:32,14,Run without audio feedback,5,1,3,1,2,2
05/01/2026 09:20:52,15,Run with audio feedback,4,4,5,5,5,5
05/01/2026 09:22:15,15,Run without audio feedback,4,2,3,3,1,4
