time,halfW01,d0,d1,d2,d3
2.931,0.8761,2,5,5,2
0.333,0.8887,2,5,5,2
0.365,0.8901,2,5,5,2
0.398,0.8915,2,5,5,2
0.434,0.8923,2,5,5,2
0.467,0.8936,2,5,5,2
0.500,0.8950,2,5,5,2
0.532,0.8957,2,5,5,2
0.564,0.8970,2,5,5,2
0.596,0.8976,2,5,5,2
0.626,0.8989,2,5,5,2
0.665,0.9002,2,5,5,2
0.696,0.9008,2,5,5,2
0.734,0.9020,2,5,5,2
0.765,0.9032,2,5,5,2
0.853,0.9054,2,5,5,2
0.870,0.9060,2,5,5,2
0.896,0.9065,2,5,5,2
0.929,0.9076,2,5,5,2
0.963,0.9087,2,5,5,2
0.997,0.9092,2,5,5,2
1.031,0.9102,2,5,5,2
1.063,0.9112,2,5,5,2
1.096,0.9117,2,5,5,2
1.130,0.9127,2,5,5,2
1.162,0.9136,2,5,5,2
1.198,0.9145,2,5,5,2
1.231,0.9150,2,5,5,2
1.264,0.9159,2,5,5,2
1.296,0.9163,2,5,5,2
1.329,0.9172,2,5,5,2
1.363,0.9180,2,5,5,2
1.396,0.9184,2,5,5,2
1.430,0.9192,2,5,5,2
1.464,0.9200,2,5,5,2
1.496,0.9204,2,5,5,2
1.531,0.9211,2,5,5,2
1.565,0.9218,2,5,5,2
1.596,0.9222,2,5,5,2
1.630,0.9229,2,5,5,2
1.663,0.9236,2,5,5,2
1.698,0.9243,2,5,5,2
1.729,0.9246,2,5,5,2
1.764,0.9252,2,5,5,2
1.796,0.9255,2,5,5,2
1.829,0.9262,2,5,5,2
1.863,0.9268,0,0,0,0
1.897,0.9271,0,0,0,0
1.929,0.9277,0,0,0,0
1.964,0.9282,0,0,0,0
1.996,0.9285,0,0,0,0
2.030,0.9291,0,0,0,0
2.064,0.9296,0,0,0,0
2.096,0.9299,0,0,0,0
2.131,0.9304,0,0,0,0
2.165,0.9309,0,0,0,0
2.196,0.9311,0,0,0,0
2.229,0.9316,0,0,0,0
2.264,0.9321,0,0,0,0
2.295,0.9323,0,0,0,0
2.330,0.9328,0,0,0,0
2.362,0.9332,0,0,0,0
2.396,0.9335,0,0,0,0
2.429,0.9339,0,0,0,0
2.463,0.9343,0,0,0,0
2.496,0.9345,0,0,0,0
2.528,0.9348,0,0,0,0
2.563,0.9349,0,0,0,0
2.597,0.9347,0,0,0,0
2.630,0.9338,0,0,0,0
2.663,0.9305,2,5,5,2
2.696,0.9275,2,5,5,2
2.729,0.9250,2,5,5,2
2.763,0.9222,2,5,5,2
2.797,0.9207,2,5,5,2
2.829,0.9178,2,5,5,2
2.863,0.9150,2,5,5,2
2.895,0.9137,2,5,5,2
2.929,0.9113,2,5,5,2
2.962,0.9091,2,5,5,2
2.996,0.9091,2,5,5,2
3.030,0.9089,2,5,5,2
3.064,0.9110,2,5,5,2
3.096,0.9135,2,5,5,2
3.131,0.9130,2,5,5,2
3.165,0.9124,2,5,5,2
3.197,0.9119,2,5,5,2
3.229,0.9108,2,5,5,2
3.263,0.9099,2,5,5,2
3.297,0.9094,2,5,5,2
3.329,0.9086,2,5,5,2
3.363,0.9080,2,5,5,2
3.396,0.9077,2,5,5,2
3.431,0.9072,2,5,5,2
3.464,0.9067,2,5,5,2
3.497,0.9065,2,5,5,2
3.529,0.9062,2,5,5,2
3.563,0.9060,2,5,5,2
3.596,0.9059,2,5,5,2
3.629,0.9057,2,5,5,2
3.663,0.9056,2,5,5,2
3.697,0.9056,2,5,5,2
3.731,0.9055,2,5,5,2
3.764,0.9055,2,5,5,2
3.797,0.9055,2,5,5,2
3.830,0.9049,2,5,5,2
3.863,0.9040,2,5,5,2
3.896,0.9028,2,5,5,2
3.929,0.9017,2,5,5,2
3.963,0.9011,2,5,5,2
3.997,0.9010,2,5,5,2
4.029,0.9010,2,5,5,2
4.064,0.9010,2,5,5,2
4.097,0.9011,0,0,0,0
4.131,0.9011,0,0,0,0
4.162,0.9011,0,0,0,0
4.196,0.9012,0,0,0,0
4.230,0.9012,0,0,0,0
4.264,0.9012,0,0,0,0
4.297,0.9007,0,0,0,0
4.329,0.8999,0,0,0,0
4.364,0.8986,0,0,0,0
4.396,0.8973,0,0,0,0
4.431,0.8957,2,5,5,2
4.463,0.8949,2,5,5,2
4.495,0.8949,2,5,5,2
4.529,0.8949,2,5,5,2
4.563,0.8950,2,5,5,2
4.596,0.8950,2,5,5,2
4.631,0.8950,2,5,5,2
4.664,0.8950,2,5,5,2
4.696,0.8951,2,5,5,2
4.729,0.8951,2,5,5,2
4.764,0.8951,2,5,5,2
4.800,0.8951,2,5,5,2
4.831,0.8952,2,5,5,2
4.863,0.8952,2,5,5,2
4.895,0.8952,2,5,5,2
4.930,0.8952,2,5,5,2
4.962,0.8952,2,5,5,2
4.998,0.8953,2,5,5,2
5.031,0.8953,2,5,5,2
5.067,0.8953,2,5,5,2
5.096,0.8953,2,5,5,2
5.128,0.8955,2,5,5,2
5.164,0.8957,2,5,5,2
5.198,0.8959,2,5,5,2
5.231,0.8964,2,5,5,2
5.264,0.8971,2,5,5,2
5.297,0.8975,2,5,5,2
5.331,0.8985,2,5,5,2
5.363,0.8997,2,5,5,2
5.396,0.9003,2,5,5,2
5.429,0.9015,2,5,5,2
5.467,0.9028,0,0,0,0
5.496,0.9034,0,0,0,0
5.529,0.9046,0,0,0,0
5.564,0.9058,0,0,0,0
5.596,0.9064,0,0,0,0
5.628,0.9081,2,5,5,2
5.663,0.9103,2,5,5,2
5.698,0.9130,2,5,5,2
5.729,0.9144,2,5,5,2
5.764,0.9173,2,5,5,2
5.796,0.9187,2,5,5,2
5.831,0.9215,2,5,5,2
